cpf;curso ;area;unidade;turno;mensalidade;situacao_pgto;forma_pgto;genero;idade;pcd;estagio;dps;pegou_certificado
3639210;tecnico em Direito;juridico;Unidade Norte;Noite;1625;nao pago;1;F;28;sim;sim;DP;sim
4279417;tecnico em informatica;Exatas;Unidade Norte;Noite;1649;pago;1;F;41;nao;sim;DP;sim
4298125;tecnico em estatistica;Exatas;Unidade Sul;manha;2413;pago;1;M;28;sim;nao;DP;sim
3321435;tecnico em Direito;juridico;Unidade Sul;manha;2835;nao pago;2;F;39;sim;sim;DP;nao
4331282;tecnico em Direito;juridico;Unidade Centro;manha;3079;nao pago;2;M;36;nao;sim;DP;nao
4281498;tecnico em Direito;juridico;Unidade Sul;Tarde;1344;nao pago;3;M;33;sim;nao;DP;nao
4574049;tecnico em informatica;Exatas;Unidade Norte;Tarde;1837;nao pago;1;F;32;sim;sim;DP;nao
4480934;tecnico em Enfermagem;saude;Unidade Centro;Noite;1493;pago;1;M;42;sim;nao;N/DP;nao
4600417;tecnico em gestao;Exatas;Unidade Norte;manha;2659;pago;2;M;37;nao;nao;DP;nao
4450394;tecnico em informatica;Exatas;Unidade Centro;Tarde;2902;pago;1;M;28;nao;sim;DP;sim
4405694;tecnico em Radiologia;saude;Unidade Norte;Noite;2483;nao pago;3;M;44;nao;nao;DP;nao
3292254;tecnico em informatica;Exatas;Unidade Centro;Noite;2673;pago;1;F;21;sim;nao;N/DP;sim
4342529;tecnico em gestao;Exatas;Unidade Norte;Tarde;1878;nao pago;2;F;42;sim;sim;N/DP;sim
4982676;tecnico em Enfermagem;saude;Unidade Norte;manha;1930;nao pago;3;M;20;nao;nao;N/DP;nao
3727561;tecnico em Radiologia;saude;Unidade Centro;manha;2473;pago;2;F;23;nao;sim;DP;nao
3691671;tecnico em nutricao;saude;Unidade Norte;Tarde;2491;pago;1;F;34;sim;nao;DP;sim
4806716;tecnico em gestao;Exatas;Unidade Sul;Tarde;1489;pago;3;F;23;sim;sim;N/DP;sim
4982168;tecnico em Enfermagem;saude;Unidade Sul;Noite;3697;nao pago;2;M;44;nao;nao;N/DP;sim
3721228;tecnico em Radiologia;saude;Unidade Sul;Noite;2187;nao pago;1;F;43;nao;sim;N/DP;sim
4377009;tecnico em mediacao legal;juridico;Unidade Centro;manha;2153;pago;1;F;22;nao;sim;DP;sim
4217850;tecnico em gestao;Exatas;Unidade Centro;Tarde;2396;pago;3;M;22;sim;sim;DP;sim
4957959;tecnico em nutricao;saude;Unidade Centro;manha;1359;nao pago;2;M;39;nao;sim;DP;nao
4074237;tecnico em informatica;Exatas;Unidade Centro;Tarde;3439;nao pago;1;F;26;nao;sim;N/DP;sim
3375775;tecnico em informatica;Exatas;Unidade Centro;Tarde;3211;pago;3;F;27;sim;sim;N/DP;nao
3304513;tecnico em Direito;juridico;Unidade Sul;Tarde;2220;pago;2;F;33;nao;nao;N/DP;nao
3174713;tecnico em Enfermagem;saude;Unidade Centro;Noite;1448;nao pago;1;F;28;sim;nao;N/DP;nao
3319441;tecnico em Enfermagem;saude;Unidade Centro;manha;3890;pago;2;F;31;sim;sim;DP;nao
4192336;tecnico em informatica;Exatas;Unidade Norte;Noite;1375;nao pago;2;F;44;nao;nao;N/DP;nao
4611390;tecnico em informatica;Exatas;Unidade Norte;manha;1849;pago;3;M;31;nao;nao;N/DP;sim
3253018;tecnico em nutricao;saude;Unidade Sul;manha;3201;nao pago;3;F;26;sim;sim;N/DP;nao
4209933;tecnico em mediacao legal;juridico;Unidade Centro;manha;2511;nao pago;1;M;22;nao;sim;N/DP;nao
3019946;tecnico em Direito;juridico;Unidade Sul;Noite;2451;nao pago;1;M;37;nao;nao;DP;sim
4093065;tecnico em gestao;Exatas;Unidade Norte;Noite;1395;nao pago;2;M;23;sim;nao;N/DP;nao
4375704;tecnico em informatica;Exatas;Unidade Sul;Tarde;3184;nao pago;3;F;40;sim;nao;DP;nao
3003091;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;3944;nao pago;1;M;32;nao;sim;N/DP;nao
3649668;tecnico em mediacao legal;juridico;Unidade Centro;Noite;3553;pago;3;M;38;nao;nao;DP;sim
4558770;tecnico em Enfermagem;saude;Unidade Norte;manha;3446;pago;2;M;27;nao;sim;N/DP;sim
3844065;tecnico em nutricao;saude;Unidade Sul;manha;1576;nao pago;1;F;26;nao;sim;N/DP;sim
4748697;tecnico em mediacao legal;juridico;Unidade Centro;manha;1848;nao pago;2;F;18;nao;nao;DP;nao
3435142;tecnico em mediacao legal;juridico;Unidade Norte;manha;2183;nao pago;2;M;19;nao;nao;DP;sim
3217701;tecnico em Enfermagem;saude;Unidade Sul;Tarde;1865;pago;1;M;18;nao;nao;N/DP;nao
3548228;tecnico em mediacao legal;juridico;Unidade Sul;Noite;3652;nao pago;2;M;40;nao;sim;N/DP;sim
4239656;tecnico em Radiologia;saude;Unidade Centro;Noite;2059;pago;1;F;41;nao;nao;DP;sim
3684108;tecnico em Direito;juridico;Unidade Centro;Tarde;2635;pago;2;M;40;nao;sim;DP;nao
3047790;tecnico em informatica;Exatas;Unidade Centro;Noite;1358;nao pago;2;F;27;sim;sim;N/DP;sim
4630386;tecnico em estatistica;Exatas;Unidade Norte;Tarde;2156;nao pago;3;F;43;sim;sim;N/DP;sim
3558874;tecnico em estatistica;Exatas;Unidade Norte;Noite;2935;nao pago;1;F;34;sim;nao;DP;sim
3958038;tecnico em informatica;Exatas;Unidade Centro;manha;3113;pago;1;F;36;sim;sim;N/DP;sim
3693532;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;1713;pago;2;F;29;sim;nao;DP;nao
4686278;tecnico em informatica;Exatas;Unidade Norte;manha;1460;nao pago;2;M;45;sim;sim;DP;nao
3431089;tecnico em Radiologia;saude;Unidade Norte;Noite;2737;pago;1;F;33;nao;sim;N/DP;sim
3825629;tecnico em Direito;juridico;Unidade Norte;Tarde;2013;pago;2;F;23;nao;nao;DP;sim
4515739;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;2146;pago;1;M;38;sim;sim;N/DP;sim
3048539;tecnico em estatistica;Exatas;Unidade Sul;Noite;2990;pago;3;F;42;nao;nao;N/DP;sim
4932397;tecnico em Radiologia;saude;Unidade Norte;Tarde;3231;pago;3;F;38;sim;nao;N/DP;nao
3526842;tecnico em Enfermagem;saude;Unidade Sul;Tarde;2571;pago;2;M;36;nao;sim;N/DP;nao
4206183;tecnico em informatica;Exatas;Unidade Centro;Noite;2686;pago;3;F;27;sim;nao;DP;nao
4262896;tecnico em informatica;Exatas;Unidade Centro;manha;2865;nao pago;1;F;28;sim;sim;DP;nao
4715191;tecnico em gestao;Exatas;Unidade Centro;manha;2259;nao pago;3;M;40;nao;sim;N/DP;nao
3392930;tecnico em gestao;Exatas;Unidade Centro;Tarde;3705;nao pago;2;M;30;sim;nao;N/DP;sim
4131320;tecnico em Enfermagem;saude;Unidade Sul;manha;3855;pago;3;F;42;nao;sim;N/DP;sim
3560903;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;1370;nao pago;3;F;32;nao;sim;DP;nao
4809243;tecnico em Enfermagem;saude;Unidade Norte;manha;3224;nao pago;2;F;23;nao;nao;DP;sim
3781918;tecnico em informatica;Exatas;Unidade Centro;manha;3565;nao pago;2;F;37;nao;nao;DP;nao
4726363;tecnico em gestao;Exatas;Unidade Centro;Noite;3318;nao pago;3;M;40;sim;sim;N/DP;sim
4891767;tecnico em informatica;Exatas;Unidade Sul;Noite;2146;nao pago;1;F;22;nao;sim;DP;sim
3698627;tecnico em gestao;Exatas;Unidade Sul;Tarde;2577;pago;3;F;20;sim;sim;N/DP;sim
3837201;tecnico em nutricao;saude;Unidade Centro;manha;2090;nao pago;2;F;25;sim;nao;DP;sim
3001570;tecnico em mediacao legal;juridico;Unidade Centro;manha;2670;nao pago;1;M;35;nao;sim;DP;nao
3689615;tecnico em mediacao legal;juridico;Unidade Norte;Noite;1897;nao pago;2;F;37;nao;sim;N/DP;sim
3304091;tecnico em Direito;juridico;Unidade Sul;Tarde;2557;nao pago;2;M;29;sim;sim;DP;nao
3794084;tecnico em Radiologia;saude;Unidade Sul;Tarde;2845;pago;3;F;30;sim;nao;DP;nao
4265793;tecnico em Enfermagem;saude;Unidade Centro;Tarde;2518;pago;1;M;27;nao;nao;N/DP;sim
4040570;tecnico em nutricao;saude;Unidade Sul;manha;3820;pago;1;F;24;sim;sim;DP;sim
3196494;tecnico em Direito;juridico;Unidade Centro;Tarde;2317;pago;2;F;33;sim;sim;DP;sim
3219294;tecnico em nutricao;saude;Unidade Norte;manha;3028;pago;2;F;43;sim;nao;N/DP;nao
3240467;tecnico em estatistica;Exatas;Unidade Norte;manha;3284;nao pago;3;F;30;sim;sim;DP;nao
3221411;tecnico em gestao;Exatas;Unidade Centro;Tarde;3978;nao pago;2;F;40;sim;nao;DP;nao
4948174;tecnico em estatistica;Exatas;Unidade Centro;Tarde;3108;pago;3;F;43;nao;sim;DP;nao
4702432;tecnico em Radiologia;saude;Unidade Centro;Noite;2201;pago;1;M;18;nao;sim;N/DP;sim
3216231;tecnico em Direito;juridico;Unidade Sul;Noite;3161;pago;3;F;34;nao;nao;N/DP;sim
4473006;tecnico em gestao;Exatas;Unidade Norte;Tarde;2547;pago;1;M;41;sim;nao;N/DP;sim
4719987;tecnico em estatistica;Exatas;Unidade Norte;Tarde;1747;nao pago;2;M;23;sim;nao;DP;sim
4623498;tecnico em Enfermagem;saude;Unidade Norte;manha;3661;nao pago;3;F;37;nao;nao;DP;nao
4819211;tecnico em estatistica;Exatas;Unidade Centro;manha;2560;nao pago;2;M;24;sim;nao;DP;sim
3587634;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;1890;pago;1;M;22;nao;sim;DP;sim
3174452;tecnico em mediacao legal;juridico;Unidade Sul;manha;3131;nao pago;1;M;29;sim;sim;N/DP;nao
4468030;tecnico em informatica;Exatas;Unidade Centro;Tarde;1764;nao pago;1;M;27;nao;sim;DP;sim
3562877;tecnico em informatica;Exatas;Unidade Centro;Tarde;2333;pago;2;M;28;nao;sim;DP;sim
4843623;tecnico em mediacao legal;juridico;Unidade Norte;manha;3318;nao pago;3;M;34;sim;sim;DP;nao
4908499;tecnico em mediacao legal;juridico;Unidade Sul;manha;3317;nao pago;1;M;23;sim;nao;DP;sim
4907912;tecnico em Direito;juridico;Unidade Sul;manha;3435;pago;1;F;36;sim;nao;N/DP;nao
3009362;tecnico em informatica;Exatas;Unidade Centro;Tarde;2868;pago;3;F;18;sim;nao;DP;nao
3110664;tecnico em Enfermagem;saude;Unidade Sul;manha;2596;pago;1;M;45;nao;sim;N/DP;nao
3701013;tecnico em Direito;juridico;Unidade Norte;Tarde;2481;pago;3;M;29;nao;sim;DP;sim
3503364;tecnico em Radiologia;saude;Unidade Centro;manha;2772;pago;3;F;25;nao;nao;N/DP;sim
3677293;tecnico em informatica;Exatas;Unidade Sul;manha;3807;pago;1;F;21;sim;sim;DP;sim
3256035;tecnico em gestao;Exatas;Unidade Centro;manha;3241;pago;1;M;26;nao;sim;DP;sim
4413993;tecnico em gestao;Exatas;Unidade Centro;Tarde;2266;nao pago;3;F;29;sim;nao;DP;sim
3798758;tecnico em estatistica;Exatas;Unidade Sul;Noite;3363;nao pago;2;F;29;nao;sim;DP;nao
3333688;tecnico em Enfermagem;saude;Unidade Centro;Noite;1379;nao pago;2;M;28;sim;nao;DP;sim
3120334;tecnico em Radiologia;saude;Unidade Norte;manha;3802;pago;2;M;35;nao;sim;N/DP;nao
3209739;tecnico em informatica;Exatas;Unidade Sul;Noite;2482;nao pago;3;M;19;nao;nao;N/DP;sim
3586980;tecnico em Enfermagem;saude;Unidade Sul;Noite;2278;pago;2;M;38;nao;nao;N/DP;sim
4881060;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;3541;pago;3;M;19;sim;nao;N/DP;nao
4222807;tecnico em gestao;Exatas;Unidade Sul;Noite;1421;nao pago;2;M;40;sim;sim;DP;nao
4800234;tecnico em Direito;juridico;Unidade Norte;Noite;3091;nao pago;1;F;29;sim;sim;DP;sim
3492270;tecnico em gestao;Exatas;Unidade Norte;Tarde;3179;pago;1;M;35;nao;nao;N/DP;sim
4322257;tecnico em Direito;juridico;Unidade Sul;Noite;1450;pago;1;M;35;nao;sim;N/DP;sim
3405621;tecnico em Direito;juridico;Unidade Norte;Noite;2263;nao pago;1;M;23;sim;nao;DP;nao
4427625;tecnico em estatistica;Exatas;Unidade Centro;manha;3506;pago;3;F;27;sim;nao;DP;sim
4003631;tecnico em informatica;Exatas;Unidade Sul;manha;3024;pago;1;M;25;nao;nao;N/DP;sim
4372861;tecnico em gestao;Exatas;Unidade Centro;Noite;3380;nao pago;3;M;27;nao;sim;N/DP;nao
4160799;tecnico em mediacao legal;juridico;Unidade Sul;Noite;2982;pago;3;F;19;nao;sim;N/DP;sim
3027200;tecnico em mediacao legal;juridico;Unidade Norte;Noite;3644;pago;2;M;21;sim;sim;N/DP;nao
3867485;tecnico em informatica;Exatas;Unidade Norte;Tarde;1567;pago;3;F;23;nao;sim;N/DP;nao
3495511;tecnico em gestao;Exatas;Unidade Norte;Tarde;2617;nao pago;2;M;29;nao;sim;DP;nao
3584612;tecnico em mediacao legal;juridico;Unidade Centro;manha;2651;pago;1;M;34;nao;nao;DP;nao
3339695;tecnico em mediacao legal;juridico;Unidade Centro;manha;1340;pago;1;F;31;sim;sim;DP;sim
4463346;tecnico em Enfermagem;saude;Unidade Sul;Tarde;3111;pago;1;M;45;nao;sim;N/DP;nao
3825434;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;3502;nao pago;2;M;41;sim;sim;DP;nao
3715205;tecnico em mediacao legal;juridico;Unidade Sul;Noite;1401;pago;3;F;18;nao;sim;N/DP;nao
3784120;tecnico em Direito;juridico;Unidade Sul;manha;2920;pago;1;M;44;nao;nao;N/DP;sim
4274845;tecnico em nutricao;saude;Unidade Norte;Tarde;3728;nao pago;3;F;32;nao;sim;N/DP;sim
4024870;tecnico em Enfermagem;saude;Unidade Centro;Noite;1661;nao pago;3;F;18;sim;nao;N/DP;sim
4438915;tecnico em gestao;Exatas;Unidade Centro;manha;3982;pago;2;M;33;sim;sim;N/DP;nao
4821402;tecnico em Radiologia;saude;Unidade Norte;Tarde;2938;pago;2;M;19;sim;nao;N/DP;sim
3067367;tecnico em gestao;Exatas;Unidade Centro;Tarde;1445;pago;2;M;20;nao;sim;N/DP;nao
3617520;tecnico em mediacao legal;juridico;Unidade Sul;manha;1361;pago;1;M;33;nao;sim;DP;nao
4161198;tecnico em gestao;Exatas;Unidade Norte;manha;3979;nao pago;2;M;44;nao;sim;DP;sim
3494556;tecnico em informatica;Exatas;Unidade Norte;Tarde;1985;pago;1;F;20;nao;sim;N/DP;sim
3727401;tecnico em mediacao legal;juridico;Unidade Norte;Noite;1707;nao pago;1;M;38;sim;nao;DP;sim
4318019;tecnico em Direito;juridico;Unidade Sul;Tarde;3857;pago;1;M;25;nao;sim;DP;sim
4491774;tecnico em mediacao legal;juridico;Unidade Centro;Noite;1490;nao pago;2;F;25;sim;nao;DP;sim
4692762;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;2267;pago;2;M;44;sim;nao;N/DP;nao
3253658;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;2109;nao pago;2;F;28;sim;sim;N/DP;sim
3356113;tecnico em mediacao legal;juridico;Unidade Norte;manha;3941;pago;3;F;19;nao;nao;DP;sim
4098702;tecnico em Radiologia;saude;Unidade Sul;Tarde;3210;pago;3;F;42;nao;sim;DP;sim
4761372;tecnico em Direito;juridico;Unidade Sul;Tarde;3778;pago;3;M;19;nao;sim;DP;nao
4072309;tecnico em Enfermagem;saude;Unidade Centro;Noite;1598;nao pago;3;F;31;nao;sim;N/DP;nao
3664188;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;2336;pago;1;M;43;sim;nao;N/DP;sim
3848266;tecnico em gestao;Exatas;Unidade Centro;manha;3539;nao pago;3;F;39;nao;sim;DP;sim
4268788;tecnico em mediacao legal;juridico;Unidade Norte;manha;2948;pago;2;F;31;nao;nao;N/DP;sim
3316553;tecnico em gestao;Exatas;Unidade Centro;Tarde;3296;pago;3;F;33;nao;sim;DP;sim
3930612;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;3911;nao pago;2;F;41;nao;nao;DP;nao
4261211;tecnico em Direito;juridico;Unidade Sul;Noite;3689;nao pago;3;F;28;sim;sim;N/DP;sim
3488341;tecnico em gestao;Exatas;Unidade Norte;manha;1871;nao pago;2;F;35;nao;nao;N/DP;sim
4699129;tecnico em Direito;juridico;Unidade Sul;Tarde;2732;nao pago;2;M;22;sim;nao;DP;nao
4935706;tecnico em gestao;Exatas;Unidade Sul;manha;2513;nao pago;2;M;37;nao;sim;DP;sim
4389079;tecnico em mediacao legal;juridico;Unidade Centro;Tarde;1850;pago;3;M;45;sim;sim;N/DP;sim
3938685;tecnico em estatistica;Exatas;Unidade Centro;Tarde;2760;nao pago;3;F;18;sim;sim;DP;sim
4328562;tecnico em informatica;Exatas;Unidade Sul;Tarde;1934;nao pago;3;F;32;sim;nao;N/DP;nao
3275037;tecnico em nutricao;saude;Unidade Sul;Noite;1805;nao pago;2;M;31;nao;sim;N/DP;sim
3675025;tecnico em mediacao legal;juridico;Unidade Norte;Tarde;2636;nao pago;1;M;19;nao;nao;N/DP;sim
3587142;tecnico em Enfermagem;saude;Unidade Centro;manha;1326;pago;1;M;32;nao;sim;DP;nao
4500713;tecnico em Enfermagem;saude;Unidade Norte;Noite;3734;nao pago;3;M;33;sim;sim;DP;nao
3131445;tecnico em mediacao legal;juridico;Unidade Sul;manha;2139;nao pago;3;M;23;nao;nao;DP;sim
4488630;tecnico em Radiologia;saude;Unidade Sul;Noite;3073;pago;2;F;32;sim;nao;DP;nao
3076736;tecnico em informatica;Exatas;Unidade Norte;Tarde;1380;nao pago;1;M;25;nao;sim;N/DP;sim
3485960;tecnico em Direito;juridico;Unidade Sul;Noite;2065;nao pago;2;F;37;nao;sim;DP;nao
3999994;tecnico em Enfermagem;saude;Unidade Sul;Noite;1652;nao pago;1;M;26;nao;nao;N/DP;nao
4381800;tecnico em nutricao;saude;Unidade Sul;Noite;3567;nao pago;1;F;19;nao;sim;N/DP;nao
4956365;tecnico em mediacao legal;juridico;Unidade Norte;manha;2001;nao pago;3;F;24;sim;sim;DP;nao
4969778;tecnico em Enfermagem;saude;Unidade Norte;manha;3073;nao pago;2;M;25;sim;nao;DP;sim
3518290;tecnico em nutricao;saude;Unidade Centro;manha;2701;nao pago;2;F;22;sim;sim;DP;nao
4061114;tecnico em estatistica;Exatas;Unidade Centro;Noite;2597;nao pago;2;F;26;sim;sim;DP;sim
3757021;tecnico em Radiologia;saude;Unidade Sul;Tarde;2442;nao pago;2;M;43;nao;sim;N/DP;sim
4274604;tecnico em gestao;Exatas;Unidade Centro;Tarde;3284;pago;1;M;35;sim;sim;N/DP;nao
4168726;tecnico em Enfermagem;saude;Unidade Centro;manha;3464;nao pago;1;M;42;sim;nao;N/DP;sim
3952509;tecnico em gestao;Exatas;Unidade Norte;manha;2291;nao pago;3;F;39;sim;sim;DP;sim
4379367;tecnico em Enfermagem;saude;Unidade Sul;manha;3650;nao pago;3;F;35;nao;sim;N/DP;nao
3477946;tecnico em Direito;juridico;Unidade Sul;Tarde;1359;pago;3;F;31;nao;nao;DP;sim
3678472;tecnico em mediacao legal;juridico;Unidade Sul;Noite;1807;pago;1;F;22;sim;nao;DP;sim
3207055;tecnico em informatica;Exatas;Unidade Norte;manha;2039;nao pago;1;M;44;nao;nao;N/DP;sim
4802972;tecnico em gestao;Exatas;Unidade Norte;Tarde;3066;nao pago;1;M;22;nao;nao;DP;sim
4599800;tecnico em informatica;Exatas;Unidade Norte;manha;2203;pago;1;M;31;nao;sim;DP;sim
3836230;tecnico em informatica;Exatas;Unidade Norte;Noite;2636;nao pago;3;M;29;nao;nao;N/DP;nao
4752062;tecnico em estatistica;Exatas;Unidade Norte;Tarde;1850;nao pago;1;F;38;nao;sim;DP;sim
4220164;tecnico em Radiologia;saude;Unidade Centro;manha;2974;nao pago;1;F;32;nao;nao;N/DP;nao
3698240;tecnico em Radiologia;saude;Unidade Norte;manha;2137;pago;1;F;44;sim;nao;N/DP;sim
3817642;tecnico em gestao;Exatas;Unidade Sul;manha;1624;pago;1;F;43;sim;nao;DP;sim
4094697;tecnico em Direito;juridico;Unidade Sul;Noite;1918;pago;1;M;28;sim;sim;DP;sim
3796070;tecnico em Direito;juridico;Unidade Centro;manha;3218;pago;3;F;40;nao;sim;N/DP;nao
4687542;tecnico em Enfermagem;saude;Unidade Norte;Tarde;1459;nao pago;2;M;45;sim;nao;DP;nao
3047500;tecnico em mediacao legal;juridico;Unidade Sul;Tarde;2037;pago;3;M;24;nao;nao;DP;sim
4251697;tecnico em informatica;Exatas;Unidade Norte;Noite;3454;nao pago;3;M;43;nao;sim;DP;nao
3502374;tecnico em nutricao;saude;Unidade Centro;manha;1657;nao pago;1;F;40;sim;sim;N/DP;sim
4684922;tecnico em Direito;juridico;Unidade Norte;Noite;2166;nao pago;3;F;43;sim;sim;N/DP;nao
4931163;tecnico em informatica;Exatas;Unidade Sul;Noite;3523;nao pago;1;M;34;sim;nao;DP;nao
3311769;tecnico em gestao;Exatas;Unidade Sul;manha;1679;pago;3;F;23;sim;sim;DP;nao
3120125;tecnico em gestao;Exatas;Unidade Centro;Tarde;1733;pago;1;F;20;nao;nao;N/DP;nao
3124786;tecnico em gestao;Exatas;Unidade Centro;Noite;2268;pago;2;M;32;nao;sim;N/DP;sim
4077122;tecnico em Radiologia;saude;Unidade Centro;Noite;3768;nao pago;1;M;21;nao;nao;DP;sim
4412607;tecnico em Enfermagem;saude;Unidade Sul;Tarde;2390;nao pago;1;F;38;nao;nao;DP;nao
4166085;tecnico em nutricao;saude;Unidade Centro;Noite;3240;nao pago;3;M;39;nao;sim;N/DP;nao
4555343;tecnico em estatistica;Exatas;Unidade Centro;Noite;3629;pago;2;F;39;sim;sim;N/DP;nao
3410997;tecnico em Radiologia;saude;Unidade Centro;Tarde;2642;nao pago;2;M;29;nao;sim;N/DP;sim
3115722;tecnico em Direito;juridico;Unidade Sul;Noite;3308;nao pago;3;M;43;sim;sim;N/DP;nao
3059165;tecnico em estatistica;Exatas;Unidade Sul;manha;2197;nao pago;1;F;43;sim;nao;N/DP;sim
4512000;tecnico em Direito;juridico;Unidade Sul;manha;3195;pago;2;M;29;sim;sim;DP;nao
3778135;tecnico em mediacao legal;juridico;Unidade Centro;manha;3798;nao pago;3;F;40;nao;nao;DP;sim
3370436;tecnico em estatistica;Exatas;Unidade Norte;manha;3040;pago;2;M;42;nao;nao;DP;sim
3329577;tecnico em Enfermagem;saude;Unidade Centro;Noite;2768;nao pago;2;F;25;sim;sim;N/DP;nao
